infoavail,housecost,schoolquality,policetrust,streetquality,events,happy
indifferent,indifferent,indifferent,rather happy,rather unhappy,rather happy,unhappy
indifferent,rather unhappy,indifferent,happy,rather happy,indifferent,unhappy
happy,indifferent,indifferent,indifferent,indifferent,happy,happy
happy,rather happy,indifferent,indifferent,indifferent,happy,unhappy
happy,rather happy,indifferent,indifferent,indifferent,happy,unhappy
happy,happy,indifferent,happy,happy,happy,happy
indifferent,unhappy,rather unhappy,rather unhappy,unhappy,indifferent,unhappy
happy,rather happy,rather happy,rather happy,rather happy,happy,happy
rather happy,unhappy,rather happy,rather happy,rather happy,rather happy,unhappy
rather happy,rather happy,rather happy,rather unhappy,happy,happy,unhappy
indifferent,rather unhappy,indifferent,indifferent,rather unhappy,indifferent,unhappy
rather happy,rather happy,indifferent,rather happy,rather happy,rather happy,unhappy
happy,rather unhappy,rather happy,happy,happy,happy,happy
rather happy,rather unhappy,rather happy,happy,rather happy,indifferent,unhappy
rather happy,unhappy,indifferent,indifferent,rather happy,indifferent,unhappy
indifferent,rather unhappy,rather happy,indifferent,rather happy,rather happy,happy
happy,indifferent,rather happy,happy,rather happy,happy,unhappy
happy,unhappy,rather happy,indifferent,rather happy,happy,happy
happy,unhappy,rather unhappy,rather happy,rather happy,happy,unhappy
rather happy,rather unhappy,rather happy,rather happy,rather happy,rather happy,unhappy
rather happy,rather unhappy,indifferent,indifferent,rather happy,rather happy,happy
rather happy,rather unhappy,indifferent,indifferent,rather happy,rather happy,happy
rather happy,indifferent,happy,happy,happy,rather happy,unhappy
rather happy,indifferent,happy,happy,happy,rather happy,unhappy
happy,unhappy,rather unhappy,happy,rather unhappy,rather happy,happy
rather happy,indifferent,indifferent,indifferent,indifferent,rather happy,happy
indifferent,rather happy,indifferent,indifferent,rather unhappy,indifferent,unhappy
indifferent,indifferent,indifferent,happy,happy,happy,happy
indifferent,indifferent,unhappy,indifferent,indifferent,rather happy,happy
indifferent,indifferent,unhappy,indifferent,indifferent,rather happy,happy
happy,indifferent,indifferent,indifferent,happy,indifferent,happy
happy,indifferent,indifferent,indifferent,happy,indifferent,unhappy
rather happy,indifferent,indifferent,indifferent,rather happy,rather happy,unhappy
rather happy,unhappy,indifferent,rather happy,rather happy,happy,unhappy
indifferent,rather unhappy,rather happy,rather happy,rather happy,happy,happy
indifferent,rather unhappy,rather happy,rather happy,rather happy,happy,happy
rather happy,unhappy,indifferent,unhappy,unhappy,rather happy,happy
rather happy,rather unhappy,indifferent,indifferent,rather happy,rather happy,unhappy
happy,indifferent,rather happy,indifferent,rather happy,happy,happy
happy,indifferent,rather happy,indifferent,rather happy,happy,happy
happy,rather unhappy,indifferent,indifferent,rather unhappy,happy,happy
rather happy,rather happy,indifferent,rather happy,rather unhappy,rather happy,happy
rather happy,unhappy,indifferent,rather happy,rather happy,indifferent,unhappy
happy,rather unhappy,indifferent,indifferent,indifferent,indifferent,unhappy
rather happy,rather unhappy,rather happy,indifferent,rather unhappy,rather happy,happy
happy,rather unhappy,indifferent,indifferent,rather happy,happy,unhappy
rather happy,indifferent,indifferent,rather happy,rather unhappy,rather happy,unhappy
indifferent,unhappy,rather unhappy,rather happy,indifferent,happy,happy
happy,indifferent,rather happy,rather happy,rather happy,happy,happy
happy,indifferent,indifferent,rather happy,rather happy,happy,happy
unhappy,unhappy,unhappy,indifferent,unhappy,rather happy,unhappy
happy,rather unhappy,happy,happy,happy,indifferent,happy
happy,unhappy,indifferent,indifferent,rather happy,rather happy,happy
happy,unhappy,indifferent,indifferent,rather happy,rather happy,happy
happy,unhappy,indifferent,indifferent,rather happy,rather happy,happy
happy,rather unhappy,rather happy,indifferent,rather happy,happy,happy
happy,rather unhappy,rather happy,indifferent,rather happy,happy,happy
rather happy,indifferent,rather unhappy,rather happy,indifferent,rather happy,happy
rather happy,indifferent,rather unhappy,rather happy,indifferent,rather happy,happy
happy,unhappy,unhappy,happy,indifferent,happy,unhappy
rather happy,rather happy,rather happy,rather happy,indifferent,rather happy,unhappy
happy,indifferent,happy,happy,rather happy,happy,happy
happy,rather unhappy,rather happy,rather unhappy,rather unhappy,rather happy,happy
rather happy,rather happy,indifferent,indifferent,rather unhappy,happy,happy
rather happy,indifferent,indifferent,indifferent,indifferent,happy,unhappy
happy,rather unhappy,rather happy,rather happy,happy,happy,happy
happy,rather unhappy,rather happy,rather happy,happy,happy,happy
happy,happy,happy,rather unhappy,happy,happy,unhappy
rather happy,unhappy,indifferent,rather happy,rather happy,rather happy,happy
rather happy,unhappy,indifferent,rather happy,rather happy,rather happy,happy
indifferent,indifferent,indifferent,happy,rather happy,indifferent,unhappy
rather happy,unhappy,unhappy,indifferent,rather happy,rather happy,unhappy
happy,unhappy,happy,happy,happy,happy,happy
happy,rather happy,happy,happy,happy,happy,happy
rather happy,rather unhappy,rather unhappy,rather happy,rather happy,happy,happy
rather happy,indifferent,indifferent,rather happy,indifferent,rather happy,happy
indifferent,rather happy,indifferent,rather happy,unhappy,rather happy,unhappy
rather happy,happy,happy,happy,unhappy,indifferent,unhappy
rather happy,indifferent,indifferent,rather happy,rather unhappy,rather happy,happy
happy,rather unhappy,indifferent,indifferent,rather unhappy,happy,unhappy
happy,indifferent,indifferent,rather happy,indifferent,indifferent,unhappy
happy,rather unhappy,happy,happy,happy,happy,happy
indifferent,rather unhappy,indifferent,indifferent,rather happy,rather happy,unhappy
rather happy,indifferent,rather unhappy,indifferent,rather unhappy,rather happy,unhappy
happy,rather unhappy,indifferent,happy,happy,happy,happy
happy,indifferent,indifferent,indifferent,rather unhappy,happy,unhappy
happy,happy,happy,happy,happy,happy,happy
rather happy,indifferent,rather unhappy,rather happy,rather happy,rather happy,happy
indifferent,indifferent,indifferent,indifferent,indifferent,rather happy,unhappy
rather happy,rather unhappy,rather happy,rather happy,rather happy,rather happy,happy
happy,indifferent,rather unhappy,rather happy,rather happy,rather happy,happy
rather happy,indifferent,rather happy,rather happy,rather unhappy,rather happy,unhappy
happy,rather unhappy,indifferent,rather happy,rather happy,happy,happy
happy,indifferent,indifferent,indifferent,happy,happy,happy
rather happy,unhappy,indifferent,rather happy,rather happy,indifferent,unhappy
happy,rather unhappy,rather happy,happy,rather happy,happy,happy
happy,rather happy,rather unhappy,rather happy,indifferent,happy,unhappy
indifferent,indifferent,unhappy,indifferent,rather unhappy,indifferent,unhappy
indifferent,rather happy,happy,rather happy,happy,rather happy,unhappy
happy,unhappy,indifferent,rather happy,happy,happy,happy
happy,rather happy,happy,happy,happy,rather happy,happy
happy,happy,indifferent,rather happy,rather happy,happy,happy
happy,rather happy,rather happy,indifferent,indifferent,rather happy,happy
happy,rather happy,rather happy,rather happy,rather happy,happy,happy
indifferent,unhappy,indifferent,rather unhappy,unhappy,rather unhappy,unhappy
happy,happy,happy,happy,happy,happy,happy
rather happy,rather happy,indifferent,rather happy,indifferent,indifferent,unhappy
happy,rather happy,happy,rather happy,happy,rather happy,happy
rather happy,rather unhappy,indifferent,rather happy,indifferent,indifferent,happy
indifferent,indifferent,rather unhappy,rather happy,rather happy,rather happy,unhappy
happy,rather unhappy,rather unhappy,rather happy,happy,happy,happy
happy,indifferent,rather unhappy,rather happy,rather happy,happy,happy
indifferent,unhappy,rather unhappy,indifferent,indifferent,unhappy,unhappy
happy,indifferent,rather happy,indifferent,rather happy,indifferent,happy
happy,rather unhappy,indifferent,indifferent,indifferent,happy,unhappy
rather happy,indifferent,rather happy,rather happy,indifferent,rather happy,happy
indifferent,rather unhappy,rather unhappy,indifferent,indifferent,indifferent,unhappy
rather happy,unhappy,indifferent,happy,indifferent,happy,unhappy
happy,unhappy,rather happy,indifferent,happy,happy,happy
rather happy,unhappy,indifferent,rather unhappy,rather happy,rather happy,unhappy
happy,unhappy,happy,indifferent,happy,happy,happy
rather happy,rather unhappy,rather happy,rather happy,rather happy,rather happy,unhappy
happy,rather unhappy,rather happy,rather happy,happy,happy,unhappy
happy,indifferent,rather happy,rather happy,rather happy,rather happy,happy
happy,rather unhappy,rather happy,rather happy,rather unhappy,indifferent,happy
happy,indifferent,indifferent,rather happy,rather happy,happy,unhappy
happy,indifferent,indifferent,rather happy,rather happy,rather happy,unhappy
indifferent,rather unhappy,indifferent,indifferent,happy,rather happy,unhappy
rather happy,unhappy,indifferent,indifferent,indifferent,rather happy,unhappy
happy,unhappy,rather happy,rather happy,rather happy,happy,unhappy
happy,rather unhappy,rather unhappy,rather happy,rather happy,happy,unhappy
happy,indifferent,happy,rather happy,happy,happy,unhappy
indifferent,rather happy,rather happy,happy,unhappy,indifferent,happy
happy,unhappy,happy,happy,happy,happy,happy
rather happy,indifferent,indifferent,rather happy,rather happy,rather happy,happy
happy,happy,unhappy,unhappy,happy,unhappy,happy
rather happy,rather happy,rather happy,rather happy,unhappy,indifferent,unhappy
happy,rather unhappy,indifferent,rather happy,rather happy,indifferent,happy
happy,indifferent,indifferent,unhappy,indifferent,happy,unhappy
happy,rather unhappy,indifferent,rather happy,rather unhappy,happy,happy
happy,indifferent,indifferent,rather happy,rather happy,happy,happy
rather happy,indifferent,indifferent,rather happy,rather happy,happy,unhappy
happy,indifferent,rather unhappy,happy,happy,happy,unhappy
